Clase ID,Clase Nombre,Confianza,"BBox [x1, y1, x2, y2]"
17,Commelinaerecta_canutillo_hoja,0.916,"[226.86398315429688, 695.520751953125, 312.5548095703125, 785.46435546875]"
17,Commelinaerecta_canutillo_hoja,0.884,"[351.21197509765625, 666.13232421875, 427.6327209472656, 734.6136474609375]"
17,Commelinaerecta_canutillo_hoja,0.837,"[0.0, 973.6575927734375, 79.51844787597656, 1051.661865234375]"
17,Commelinaerecta_canutillo_hoja,0.772,"[313.75189208984375, 742.064208984375, 378.95635986328125, 816.8543701171875]"
17,Commelinaerecta_canutillo_hoja,0.71,"[147.68740844726562, 783.193115234375, 224.39190673828125, 854.0634765625]"
17,Commelinaerecta_canutillo_hoja,0.683,"[128.43621826171875, 793.2376098632812, 224.5144500732422, 863.4046630859375]"
17,Commelinaerecta_canutillo_hoja,0.629,"[126.0953140258789, 848.0978393554688, 216.8507080078125, 899.3789672851562]"
17,Commelinaerecta_canutillo_hoja,0.584,"[227.255126953125, 814.5791625976562, 331.6751403808594, 864.5730590820312]"
17,Commelinaerecta_canutillo_hoja,0.5,"[60.58877944946289, 855.0609130859375, 144.44532775878906, 923.498046875]"
