Clase ID,Clase Nombre,Confianza,"BBox [x1, y1, x2, y2]"
32,Musa_paradisiaca_Platano_fruto,0.625,"[427.14715576171875, 446.84722900390625, 524.680419921875, 638.6441040039062]"
32,Musa_paradisiaca_Platano_fruto,0.622,"[161.2725830078125, 431.0123291015625, 313.33056640625, 671.2901611328125]"
32,Musa_paradisiaca_Platano_fruto,0.61,"[46.56513214111328, 580.5032348632812, 234.4695281982422, 794.30908203125]"
32,Musa_paradisiaca_Platano_fruto,0.6,"[91.07861328125, 690.0703125, 278.42791748046875, 891.44482421875]"
32,Musa_paradisiaca_Platano_fruto,0.588,"[50.762481689453125, 498.05657958984375, 262.5035705566406, 740.1437377929688]"
32,Musa_paradisiaca_Platano_fruto,0.584,"[233.83460998535156, 489.83551025390625, 414.5367431640625, 701.37890625]"
32,Musa_paradisiaca_Platano_fruto,0.581,"[119.3459701538086, 332.34991455078125, 307.5363464355469, 501.74737548828125]"
32,Musa_paradisiaca_Platano_fruto,0.578,"[296.9234619140625, 360.9893798828125, 475.7411193847656, 558.228271484375]"
32,Musa_paradisiaca_Platano_fruto,0.558,"[342.7386474609375, 499.8320007324219, 489.9609375, 718.4970092773438]"
32,Musa_paradisiaca_Platano_fruto,0.552,"[113.11653137207031, 342.364501953125, 253.35952758789062, 498.94622802734375]"
32,Musa_paradisiaca_Platano_fruto,0.546,"[113.30363464355469, 728.0206298828125, 257.242919921875, 913.179443359375]"
32,Musa_paradisiaca_Platano_fruto,0.533,"[68.30381774902344, 413.49151611328125, 221.13250732421875, 619.666748046875]"
32,Musa_paradisiaca_Platano_fruto,0.53,"[263.86248779296875, 340.6010437011719, 437.88037109375, 528.5277099609375]"
32,Musa_paradisiaca_Platano_fruto,0.518,"[158.2154541015625, 519.58349609375, 311.5000915527344, 740.4755249023438]"
32,Musa_paradisiaca_Platano_fruto,0.518,"[198.6548614501953, 501.31683349609375, 410.4496765136719, 732.1668090820312]"
32,Musa_paradisiaca_Platano_fruto,0.516,"[81.89579772949219, 357.558349609375, 236.0594482421875, 513.935302734375]"
